Threads, Generation-Gap, Evaluations, Time
2, 4, 152576, 119.475816
2, 4, 101376, 71.628808
2, 4, 194560, 144.468391
2, 4, 144384, 100.976387
2, 4, 88064, 61.500206
2, 4, 121856, 83.91185
2, 4, 140288, 101.109867
2, 4, 152576, 107.542258
2, 4, 126976, 90.063227
2, 4, 61440, 41.724619
2, 4, 161792, 117.798666
2, 4, 137216, 98.081714
2, 4, 169984, 127.234104
2, 4, 76800, 57.323194
2, 4, 69632, 55.033555
2, 8, 210944, 127.697133
2, 8, 247808, 173.654833
2, 8, 184320, 106.823289
2, 8, 366592, 213.024472
2, 8, 245760, 132.324214
2, 8, 286720, 158.718852
2, 8, 77824, 44.112653
2, 8, 153600, 82.701763
2, 8, 212992, 115.650477
2, 8, 200704, 119.092194
2, 8, 126976, 83.513918
2, 8, 675840, 382.242937
2, 8, 122880, 70.103443
2, 8, 233472, 116.442148
2, 8, 163840, 97.079026
2, 16, 368640, 205.336547
2, 16, 114688, 56.764864
2, 16, 159744, 76.213336
2, 16, 712704, 317.274317
2, 16, 253952, 123.156629
2, 16, 401408, 180.603923
2, 16, 200704, 98.775425
2, 16, 208896, 93.494511
2, 16, 442368, 208.943768
2, 16, 253952, 121.135342
2, 16, 258048, 128.408057
2, 16, 200704, 102.304411
2, 16, 380928, 204.976677
2, 16, 335872, 171.03062
2, 16, 77824, 37.251011
2, 32, 188416, 82.536949
2, 32, 196608, 89.345304
2, 32, 294912, 126.075691
2, 32, 262144, 117.37528
2, 32, 81920, 31.355151
2, 32, 368640, 145.870185
2, 32, 311296, 125.328772
2, 32, 1179648, 483.145962
2, 32, 163840, 66.781035
2, 32, 671744, 269.005426
2, 32, 868352, 365.438727
2, 32, 1089536, 343.568417
2, 32, 237568, 93.768288
2, 32, 221184, 90.84082
2, 32, 901120, 317.047338
