Threads, Generation-Gap, Evaluations, Time
2, 16, 143360, 78.776126
2, 16, 327680, 194.571175
2, 16, 290816, 161.017151
2, 16, 131072, 67.632798
2, 16, 200704, 105.216104
2, 16, 856064, 546.508832
2, 16, 147456, 91.522687
2, 16, 147456, 92.230199
2, 16, 200704, 133.837978
2, 16, 507904, 317.705391
2, 16, 159744, 83.163012
2, 16, 77824, 42.848601
2, 16, 172032, 107.431215
2, 16, 77824, 51.020741
2, 16, 311296, 191.171574
2, 32, 360448, 151.676771
2, 32, 147456, 78.682575
2, 32, 483328, 252.744119
2, 32, 196608, 97.331267
2, 32, 73728, 36.198349
2, 32, 303104, 134.529703
2, 32, 417792, 230.484673
2, 32, 270336, 135.650214
2, 32, 491520, 176.462795
2, 32, 401408, 150.95101
2, 32, 385024, 151.115572
2, 32, 950272, 351.399543
2, 32, 180224, 71.96639
2, 32, 376832, 147.631631
2, 32, 221184, 77.441194
2, 64, 1146880, 375.651702
2, 64, 901120, 311.048982
2, 64, 344064, 127.283489
2, 64, 786432, 300.139327
2, 64, 262144, 106.248777
2, 64, 589824, 237.291417
2, 64, 475136, 175.237687
2, 64, 376832, 131.131843
2, 64, 196608, 83.030965
2, 64, 262144, 100.338651
2, 64, 212992, 76.469811
2, 64, 393216, 131.980396
2, 64, 770048, 303.651994
2, 16, 614400, 280.333172
2, 16, 159744, 70.579878
2, 16, 409600, 183.799089
2, 16, 598016, 267.827766
2, 16, 249856, 116.617944
2, 16, 106496, 52.991605
2, 16, 282624, 138.160439
2, 16, 90112, 53.598722
2, 16, 135168, 67.240621
2, 16, 57344, 27.170365
2, 16, 77824, 37.353451
2, 16, 159744, 85.309544
2, 16, 258048, 147.6479
2, 16, 188416, 92.967682
2, 16, 319488, 160.619347
2, 32, 270336, 119.654245
2, 32, 188416, 90.298956
2, 32, 311296, 142.842387
2, 32, 204800, 111.977974
2, 32, 90112, 48.770929
2, 32, 204800, 93.528496
2, 32, 385024, 169.947949
2, 32, 106496, 44.798788
2, 32, 163840, 69.311303
2, 32, 172032, 66.2641
2, 32, 368640, 149.127635
2, 32, 98304, 42.289779
2, 32, 139264, 65.524182
2, 32, 188416, 88.92382
2, 64, 163840, 62.504893
2, 64, 212992, 90.612072
2, 64, 327680, 132.788419
2, 64, 573440, 253.542089
2, 64, 442368, 163.254902
2, 64, 409600, 145.883042
2, 64, 114688, 48.116739
2, 64, 475136, 161.869325
2, 64, 753664, 239.218718
2, 64, 131072, 48.021905
2, 64, 475136, 149.575569
2, 64, 49152, 24.492068
2, 64, 458752, 143.789638
2, 4, 43008, 35.0907
2, 4, 61440, 53.643499
2, 4, 45056, 35.503246
2, 4, 78848, 72.810015
2, 4, 62464, 53.089883
2, 4, 77824, 64.018232
2, 4, 40960, 33.301272
2, 4, 41984, 35.347575
2, 4, 60416, 48.983281
2, 4, 79872, 62.979129
2, 4, 68608, 52.156042
2, 4, 96256, 79.947887
2, 4, 54272, 44.566982
2, 4, 39936, 32.351074
2, 4, 88064, 70.949764
2, 4, 46080, 39.011124
2, 4, 55296, 43.187786
2, 4, 48128, 38.698787
2, 4, 74752, 61.568141
2, 4, 48128, 38.784286
2, 8, 114688, 67.623988
2, 8, 90112, 54.796394
2, 8, 96256, 57.623126
2, 8, 57344, 33.458974
2, 8, 141312, 80.410927
2, 8, 90112, 51.876969
2, 8, 223232, 125.297425
2, 8, 65536, 37.495347
2, 8, 100352, 60.006803
2, 8, 47104, 31.268555
2, 8, 241664, 144.828775
2, 8, 131072, 84.131285
2, 8, 43008, 25.9594
2, 8, 159744, 91.536674
2, 8, 133120, 75.688227
2, 8, 141312, 90.238101
2, 8, 143360, 87.437282
2, 8, 118784, 68.081368
2, 8, 96256, 54.603454
2, 8, 110592, 73.832593
