Threads, Generation-Gap, Evaluations, Time
2, 16, 155648, 78.818621
2, 16, 225280, 121.780691
2, 16, 249856, 112.936126
2, 16, 110592, 49.88262
2, 16, 135168, 69.541091
2, 16, 192512, 89.99869
2, 16, 270336, 125.683019
2, 16, 286720, 135.282085
2, 16, 376832, 173.533737
2, 16, 102400, 56.482819
2, 16, 167936, 76.956186
2, 16, 143360, 60.576092
2, 16, 110592, 59.090039
2, 16, 131072, 60.559353
2, 16, 241664, 117.534601
4, 16, 172032, 86.906647
4, 16, 212992, 115.977393
4, 16, 294912, 141.112544
4, 16, 106496, 49.476651
4, 16, 122880, 67.236745
4, 16, 258048, 129.749201
4, 16, 262144, 122.669399
4, 16, 114688, 55.977417
4, 16, 90112, 45.879308
4, 16, 98304, 48.133234
4, 16, 135168, 63.773783
4, 16, 225280, 120.675712
4, 16, 253952, 127.141124
4, 16, 155648, 81.782747
4, 16, 163840, 82.356818
8, 16, 303104, 152.736088
8, 16, 561152, 323.536378
8, 16, 516096, 284.48132
8, 16, 266240, 162.677002
8, 16, 200704, 103.022254
8, 16, 335872, 167.173266
8, 16, 49152, 28.180758
8, 16, 114688, 56.827754
8, 16, 274432, 131.302548
8, 16, 241664, 113.969889
8, 16, 106496, 64.864918
8, 16, 188416, 102.530111
8, 16, 364544, 184.646352
8, 16, 208896, 109.497534
8, 16, 110592, 56.492974
