Threads, Generations, Time
1, 253952, 164.918053
1, 155648, 104.030827
1, 286720, 193.628316
1, 393216, 266.44623
1, 245760, 162.077163
1, 270336, 175.823048
1, 155648, 102.618101
1, 278528, 188.749798
1, 319488, 214.365019
1, 221184, 149.342793
1, 622592, 428.860875
1, 245760, 165.221675
1, 245760, 163.028732
1, 196608, 131.590166
1, 131072, 87.13933
1, 294912, 199.082537
1, 253952, 171.345265
1, 163840, 108.699695
1, 253952, 172.440821
1, 155648, 104.627406
1, 401408, 272.784773
1, 499712, 338.961777
1, 344064, 232.899529
1, 278528, 187.492073
1, 229376, 151.513622
1, 253952, 173.395418
1, 442368, 299.380513
1, 237568, 161.322286
1, 163840, 108.578192
1, 278528, 184.676885
