Threads, Generations, Time
1, 212992, 186.709247
1, 638976, 581.033712
1, 540672, 484.80831
1, 352256, 313.990403
1, 212992, 187.476584
1, 335872, 303.067087
1, 663552, 603.066363
1, 655360, 596.851619
1, 286720, 255.778979
1, 598016, 543.251275
1, 368640, 335.455152
1, 434176, 398.629509
1, 360448, 323.065099
1, 401408, 359.827706
1, 425984, 393.291255
1, 147456, 132.580672
1, 860160, 793.118272
1, 417792, 375.21132
1, 327680, 294.815064
1, 499712, 450.663325
1, 622592, 558.221417
1, 335872, 302.758648
1, 393216, 355.266076
1, 278528, 246.545216
1, 245760, 220.461336
1, 696320, 635.444201
1, 385024, 349.847696
1, 303104, 273.350205
1, 335872, 304.003001
1, 630784, 576.686891
