Threads, Generation-Gap, Evaluations, Time
2, 8, 393216, 570.12346
2, 8, 393216, 591.897538
2, 8, 589824, 492.64491
2, 8, 327680, 372.073917
2, 8, 917504, 795.2944
2, 8, 557056, 617.903595
4, 8, 786432, 379.405241
4, 8, 1130496, 355.664118
4, 8, 704512, 327.126649
4, 8, 2703360, 543.607443
4, 8, 835584, 455.842554
4, 8, 2473984, 491.692389
4, 8, 2523136, 537.178904
4, 8, 1818624, 490.270733
4, 8, 983040, 332.82786
4, 8, 360448, 302.281176
4, 8, 1703936, 473.727355
4, 8, 376832, 282.067875
4, 8, 1015808, 548.716457
4, 8, 1277952, 429.834806
4, 8, 524288, 364.503198
6, 8, 1168440, 310.565305
6, 8, 4662840, 606.692322
6, 8, 1572480, 360.986268
6, 8, 1212120, 312.706097
6, 8, 982800, 319.919223
6, 8, 884520, 230.272415
6, 8, 1037400, 271.614242
6, 8, 7556640, 777.389524
6, 8, 1266720, 290.074042
6, 8, 1790880, 328.586511
6, 8, 1026480, 287.385411
6, 8, 1354080, 293.942809
6, 8, 491400, 228.593135
6, 8, 1627080, 280.939335
8, 8, 2031616, 349.667783
8, 8, 2351104, 332.768788
8, 8, 1482752, 331.794186
8, 8, 1433600, 285.4034
8, 8, 1597440, 275.258348
8, 8, 3350528, 514.646226
8, 8, 3399680, 428.327216
8, 8, 4014080, 453.437691
8, 8, 1589248, 312.027191
8, 8, 1400832, 285.161391
8, 8, 1343488, 276.36308
8, 8, 2523136, 351.697227
8, 8, 1204224, 228.278331
8, 8, 4407296, 579.475265
8, 8, 2064384, 404.338017
10, 8, 2391480, 466.877649
10, 8, 1847664, 366.39379
10, 8, 1107288, 302.431015
10, 8, 1067976, 249.654344
10, 8, 1834560, 375.60318
10, 8, 6768216, 792.050764
10, 8, 1218672, 247.603818
10, 8, 2031120, 385.898228
10, 8, 2266992, 363.949136
10, 8, 1873872, 369.307187
10, 8, 1965600, 371.013247
10, 8, 3033576, 518.699572
10, 8, 1703520, 300.846028
10, 8, 3760848, 534.661988
10, 8, 2378376, 457.40862
12, 8, 1800480, 340.251155
12, 8, 2509760, 368.394033
12, 8, 4402992, 593.278989
12, 8, 3410000, 543.980991
12, 8, 1429472, 259.219543
12, 8, 4119280, 619.277499
12, 8, 752928, 181.283235
12, 8, 4053808, 590.877326
12, 8, 2427920, 463.129366
12, 8, 1958704, 369.034694
12, 8, 2362448, 377.682807
12, 8, 1342176, 284.774515
12, 8, 3322704, 573.185523
12, 8, 998448, 241.628494
12, 8, 4168384, 579.299908
