Threads, Generations, Time
1, 139264, 88.134401
1, 200704, 129.173628
1, 192512, 123.234849
1, 258048, 168.308859
1, 102400, 66.63877
1, 188416, 121.212424
1, 266240, 174.383609
1, 217088, 140.780085
1, 229376, 149.322247
1, 241664, 157.348907
1, 143360, 92.970502
1, 155648, 101.378612
1, 262144, 170.354346
1, 258048, 168.216399
1, 176128, 113.366689
1, 167936, 109.212825
1, 274432, 178.79434
1, 172032, 112.726056
1, 192512, 124.982835
1, 106496, 68.051807
1, 139264, 88.579591
1, 147456, 94.07578
1, 200704, 129.818555
1, 143360, 91.967974
1, 196608, 128.172989
1, 434176, 285.287276
1, 425984, 281.853035
1, 196608, 129.004173
1, 307200, 199.136237
1, 151552, 96.62865
