Threads, Generation-Gap, Evaluations, Time
2, 16, 98304, 33.299064
2, 16, 462848, 83.281585
2, 16, 135168, 31.568171
2, 16, 364544, 87.817366
2, 16, 380928, 123.773904
2, 16, 479232, 109.840075
2, 16, 311296, 92.308302
2, 16, 98304, 23.136845
2, 16, 208896, 32.559606
2, 16, 86016, 31.199414
2, 16, 217088, 62.809444
2, 16, 65536, 17.951922
2, 16, 389120, 81.080496
2, 16, 217088, 44.030011
2, 16, 204800, 44.726468
4, 16, 212992, 54.674851
4, 16, 634880, 181.158406
4, 16, 675840, 134.440304
4, 16, 188416, 53.049525
4, 16, 131072, 52.948765
4, 16, 598016, 169.042785
4, 16, 98304, 35.496241
4, 16, 270336, 75.089886
4, 16, 675840, 164.833285
4, 16, 446464, 103.240582
4, 16, 507904, 109.063037
4, 16, 303104, 78.618991
4, 16, 557056, 107.411074
4, 16, 569344, 117.346459
4, 16, 405504, 100.173398
8, 16, 114688, 42.515019
8, 16, 380928, 94.353345
8, 16, 106496, 31.629039
8, 16, 307200, 82.19808
8, 16, 1273856, 308.659
8, 16, 147456, 36.932101
8, 16, 135168, 42.49114
8, 16, 1208320, 295.6169
8, 16, 303104, 70.05009
8, 16, 909312, 218.587899
8, 16, 143360, 45.759074
8, 16, 356352, 83.262743
8, 16, 368640, 82.386552
8, 16, 421888, 116.132829
8, 16, 315392, 77.704772
