Threads, Generation-Gap, Evaluations, Time
2, 8, 63488, 17.516048
2, 8, 69632, 17.793252
2, 8, 79872, 19.119475
2, 8, 149504, 41.006967
2, 8, 237568, 42.21247
2, 8, 51200, 16.911378
2, 8, 47104, 15.933195
2, 8, 49152, 18.392737
2, 8, 67584, 25.086138
2, 8, 276480, 47.373761
2, 8, 98304, 24.97806
2, 8, 446464, 60.588577
2, 8, 292864, 58.270255
2, 8, 45056, 13.319209
2, 8, 161792, 32.365251
4, 8, 107520, 14.330418
4, 8, 151552, 23.18337
4, 8, 53248, 10.629262
4, 8, 156672, 21.884822
4, 8, 78848, 11.01227
4, 8, 86016, 12.224611
4, 8, 186368, 23.355904
4, 8, 36864, 7.944496
4, 8, 63488, 10.831662
4, 8, 86016, 15.095372
4, 8, 57344, 10.405823
4, 8, 59392, 9.051334
4, 8, 107520, 15.609168
4, 8, 109568, 13.136553
4, 8, 437248, 39.99639
6, 8, 236640, 23.350602
6, 8, 145520, 14.793249
6, 8, 127160, 13.64028
6, 8, 306680, 28.008118
6, 8, 149600, 16.512896
6, 8, 50320, 7.892976
6, 8, 90440, 10.692456
6, 8, 159800, 17.106037
6, 8, 123760, 15.22547
6, 8, 191760, 23.09991
6, 8, 186320, 20.754886
6, 8, 306000, 28.115338
6, 8, 269960, 24.382248
6, 8, 63920, 9.087266
6, 8, 87720, 10.481961
8, 8, 342528, 24.986037
8, 8, 288256, 21.943452
8, 8, 139776, 14.902595
8, 8, 292352, 25.906494
8, 8, 438272, 56.023203
8, 8, 48128, 6.838987
8, 8, 157696, 19.577784
8, 8, 280576, 33.417135
8, 8, 224768, 22.802599
8, 8, 194560, 20.130936
8, 8, 150016, 13.67125
8, 8, 363520, 27.612343
8, 8, 196608, 19.949701
8, 8, 71680, 10.437957
8, 8, 186880, 23.856892
